model,frame_number,inference_time_ms,fps,gpu_memory_mb,gpu_util_percent
metrabs,4,138.0042,7.25,2611.58,41
metrabs,5,139.5319,7.17,2611.58,40
metrabs,6,138.2144,7.24,2611.58,40
metrabs,7,138.0801,7.24,2611.58,39
metrabs,8,138.0484,7.24,2611.58,42
metrabs,9,137.3722,7.28,2611.58,40
metrabs,10,136.1047,7.35,2611.58,38
metrabs,11,137.5328,7.27,2608.71,39
metrabs,12,135.6859,7.37,2608.71,39
metrabs,13,135.5687,7.38,2608.71,39
metrabs,14,137.5854,7.27,2608.71,41
metrabs,15,135.2812,7.39,2608.71,38
metrabs,16,147.2803,6.79,2608.71,38
metrabs,17,136.4263,7.33,2609.58,36
metrabs,18,137.4843,7.27,2609.58,40
metrabs,19,135.3931,7.39,2609.58,40
metrabs,20,134.7496,7.42,2609.58,39
metrabs,21,135.7267,7.37,2609.58,45
metrabs,22,134.412,7.44,2609.58,48
metrabs,23,134.2744,7.45,2609.58,47
metrabs,24,135.3011,7.39,2609.58,47
metrabs,25,135.1902,7.4,2609.58,47
metrabs,26,139.902,7.15,2609.58,48
metrabs,27,135.3024,7.39,2609.58,44
metrabs,28,227.8351,4.39,2609.58,36
metrabs,29,134.516,7.43,2609.52,32
metrabs,30,135.2479,7.39,2609.52,45
metrabs,31,136.707,7.31,2609.52,47
metrabs,32,134.506,7.43,2609.52,46
metrabs,33,135.333,7.39,2609.52,47
metrabs,34,134.637,7.43,2609.52,47
metrabs,35,134.6508,7.43,2609.52,48
metrabs,36,135.6411,7.37,2609.52,45
metrabs,37,135.045,7.4,2609.52,45
metrabs,38,135.3685,7.39,2609.52,46
metrabs,39,134.2396,7.45,2609.52,46
metrabs,40,225.0881,4.44,2609.52,33
metrabs,41,133.5051,7.49,2626.23,48
metrabs,42,133.2521,7.5,2626.23,48
metrabs,43,132.458,7.55,2626.23,53
metrabs,44,135.2623,7.39,2626.23,55
metrabs,45,133.7033,7.48,2626.23,54
metrabs,46,140.0524,7.14,2626.23,53
metrabs,47,133.9007,7.47,2626.23,53
metrabs,48,133.51,7.49,2626.23,53
metrabs,49,133.5953,7.49,2626.23,53
metrabs,50,134.4669,7.44,2626.23,52
metrabs,51,136.1196,7.35,2624.86,54
metrabs,52,133.9157,7.47,2624.86,53
metrabs,53,134.2895,7.45,2624.86,54
metrabs,54,132.6802,7.54,2624.86,54
metrabs,55,133.1039,7.51,2624.86,55
metrabs,56,134.3919,7.44,2624.86,52
metrabs,57,133.5284,7.49,2624.86,53
metrabs,58,133.0994,7.51,2624.86,54
metrabs,59,134.0824,7.46,2624.86,54
metrabs,60,132.977,7.52,2624.86,53
metrabs,61,132.862,7.53,2620.67,53
metrabs,62,134.0769,7.46,2620.67,55
metrabs,63,133.4946,7.49,2620.67,53
metrabs,64,134.6705,7.43,2620.67,53
metrabs,65,133.5791,7.49,2620.67,53
metrabs,66,133.4384,7.49,2620.67,55
metrabs,67,133.9453,7.47,2620.67,52
metrabs,68,133.1895,7.51,2620.67,53
metrabs,69,133.4071,7.5,2620.67,54
metrabs,70,133.8663,7.47,2620.67,54
metrabs,71,135.1224,7.4,2619.79,53
metrabs,72,133.4291,7.49,2619.79,52
metrabs,73,134.2364,7.45,2619.79,54
metrabs,74,134.2686,7.45,2619.79,54
metrabs,75,132.9107,7.52,2619.79,54
metrabs,76,134.3987,7.44,2619.79,54
metrabs,77,134.3882,7.44,2619.79,55
metrabs,78,227.3323,4.4,2619.79,32
metrabs,79,133.2137,7.51,2611.79,32
metrabs,80,133.5173,7.49,2611.79,55
metrabs,81,134.8422,7.42,2609.79,52
metrabs,82,133.531,7.49,2609.79,52
metrabs,83,133.4052,7.5,2609.79,54
metrabs,84,133.4102,7.5,2609.79,54
metrabs,85,133.5531,7.49,2609.79,53
